timediff,colony,seed,assgraphs,f1,tp,fp,fn,tn,num_cells1,num_cells2,precision,recall
5,colony000,0,geometrical_features_only,0.9975461707348572,11586,32,25,2159570,11618,11968,0.9972456532966087,0.997846869348032
5,colony000,0,geometrical_and_fourier,0.996771277282707,11577,41,34,2159561,11618,11968,0.99647099328628,0.9970717423133236
5,colony000,0,fourier_descriptor,0.9976322700073184,11587,31,24,2159571,11618,11968,0.9973317266310896,0.9979329945741108
5,colony000,1,geometrical_features_only,0.9975461707348572,11586,32,25,2159570,11618,11968,0.9972456532966087,0.997846869348032
5,colony000,1,geometrical_and_fourier,0.9977183692797796,11588,30,23,2159572,11618,11968,0.9974177999655708,0.9980191198001894
5,colony000,1,fourier_descriptor,0.9976322700073184,11587,31,24,2159571,11618,11968,0.9973317266310896,0.9979329945741108
5,colony000,2,geometrical_features_only,0.9975461707348572,11586,32,25,2159570,11618,11968,0.9972456532966087,0.997846869348032
5,colony000,2,geometrical_and_fourier,0.9977183692797796,11588,30,23,2159572,11618,11968,0.9974177999655708,0.9980191198001894
5,colony000,2,fourier_descriptor,0.9977183692797796,11588,30,23,2159572,11618,11968,0.9974177999655708,0.9980191198001894
5,colony005,0,geometrical_features_only,0.9992548435171386,2682,2,2,57470,2684,2720,0.9992548435171386,0.9992548435171386
5,colony005,0,geometrical_and_fourier,1.0,2684,0,0,57472,2684,2720,1.0,1.0
5,colony005,0,fourier_descriptor,0.998882265275708,2681,3,3,57469,2684,2720,0.998882265275708,0.998882265275708
5,colony005,1,geometrical_features_only,1.0,2684,0,0,57472,2684,2720,1.0,1.0
5,colony005,1,geometrical_and_fourier,1.0,2684,0,0,57472,2684,2720,1.0,1.0
5,colony005,1,fourier_descriptor,0.9992548435171386,2682,2,2,57470,2684,2720,0.9992548435171386,0.9992548435171386
5,colony005,2,geometrical_features_only,1.0,2684,0,0,57472,2684,2720,1.0,1.0
5,colony005,2,geometrical_and_fourier,1.0,2684,0,0,57472,2684,2720,1.0,1.0
5,colony005,2,fourier_descriptor,0.998882265275708,2681,3,3,57469,2684,2720,0.998882265275708,0.998882265275708
5,colony006,0,geometrical_features_only,0.998613212304589,7921,11,11,1275668,7932,8260,0.998613212304589,0.998613212304589
5,colony006,0,geometrical_and_fourier,0.9987392839132628,7922,10,10,1275669,7932,8260,0.9987392839132628,0.9987392839132628
5,colony006,0,fourier_descriptor,0.998108925869894,7917,15,15,1275664,7932,8260,0.998108925869894,0.998108925869894
5,colony006,1,geometrical_features_only,0.9983610690872416,7919,13,13,1275666,7932,8260,0.9983610690872416,0.9983610690872416
5,colony006,1,geometrical_and_fourier,0.998613212304589,7921,11,11,1275668,7932,8260,0.998613212304589,0.998613212304589
5,colony006,1,fourier_descriptor,0.9976046394351992,7913,19,19,1275660,7932,8260,0.9976046394351992,0.9976046394351992
5,colony006,2,geometrical_features_only,0.9984871406959152,7920,12,12,1275667,7932,8260,0.9984871406959152,0.9984871406959152
