,t1,t2,colony,num_cells1,num_cells2,method,tp,fp,tn,fn,acc,f1,timediff,assgraphs,seed
0,97,98,wt_pom1D_01_07_R3D_REF_dv_trk,15,15,gcn,15,0,210,0,1.0,1.0,5,/mlodata1/hokarami/fari/tracking/generated_data/fissions/ass_graphs_features_locality,0
1,36,37,wt_pom1D_01_07_R3D_REF_dv_trk,4,4,gcn,4,0,12,0,1.0,1.0,5,/mlodata1/hokarami/fari/tracking/generated_data/fissions/ass_graphs_features_locality,0
2,79,80,wt_pom1D_01_07_R3D_REF_dv_trk,8,8,gcn,8,0,56,0,1.0,1.0,5,/mlodata1/hokarami/fari/tracking/generated_data/fissions/ass_graphs_features_locality,0
3,159,160,wt_pom1D_01_07_R3D_REF_dv_trk,61,62,gcn,60,0,3722,0,1.0,1.0,5,/mlodata1/hokarami/fari/tracking/generated_data/fissions/ass_graphs_features_locality,0
4,142,143,wt_pom1D_01_07_R3D_REF_dv_trk,34,34,gcn,34,0,1122,0,1.0,1.0,5,/mlodata1/hokarami/fari/tracking/generated_data/fissions/ass_graphs_features_locality,0
5,128,129,wt_pom1D_01_07_R3D_REF_dv_trk,31,31,gcn,31,0,930,0,1.0,1.0,5,/mlodata1/hokarami/fari/tracking/generated_data/fissions/ass_graphs_features_locality,0
6,126,127,wt_pom1D_01_07_R3D_REF_dv_trk,28,30,gcn,26,0,814,0,1.0,1.0,5,/mlodata1/hokarami/fari/tracking/generated_data/fissions/ass_graphs_features_locality,0
7,59,60,wt_pom1D_01_07_R3D_REF_dv_trk,8,8,gcn,8,0,56,0,1.0,1.0,5,/mlodata1/hokarami/fari/tracking/generated_data/fissions/ass_graphs_features_locality,0
8,41,42,wt_pom1D_01_07_R3D_REF_dv_trk,4,4,gcn,4,0,12,0,1.0,1.0,5,/mlodata1/hokarami/fari/tracking/generated_data/fissions/ass_graphs_features_locality,0
9,162,163,wt_pom1D_01_07_R3D_REF_dv_trk,62,62,gcn,62,0,3782,0,1.0,1.0,5,/mlodata1/hokarami/fari/tracking/generated_data/fissions/ass_graphs_features_locality,0
10,70,71,wt_pom1D_01_07_R3D_REF_dv_trk,8,8,gcn,8,0,56,0,1.0,1.0,5,/mlodata1/hokarami/fari/tracking/generated_data/fissions/ass_graphs_features_locality,0
11,55,56,wt_pom1D_01_07_R3D_REF_dv_trk,8,8,gcn,8,0,56,0,1.0,1.0,5,/mlodata1/hokarami/fari/tracking/generated_data/fissions/ass_graphs_features_locality,0
12,52,53,wt_pom1D_01_07_R3D_REF_dv_trk,7,7,gcn,7,0,42,0,1.0,1.0,5,/mlodata1/hokarami/fari/tracking/generated_data/fissions/ass_graphs_features_locality,0
13,154,155,wt_pom1D_01_07_R3D_REF_dv_trk,56,57,gcn,55,0,3137,0,1.0,1.0,5,/mlodata1/hokarami/fari/tracking/generated_data/fissions/ass_graphs_features_locality,0
14,63,64,wt_pom1D_01_07_R3D_REF_dv_trk,8,8,gcn,8,0,56,0,1.0,1.0,5,/mlodata1/hokarami/fari/tracking/generated_data/fissions/ass_graphs_features_locality,0
15,22,23,wt_pom1D_01_07_R3D_REF_dv_trk,4,4,gcn,4,0,12,0,1.0,1.0,5,/mlodata1/hokarami/fari/tracking/generated_data/fissions/ass_graphs_features_locality,0
16,32,33,wt_pom1D_01_07_R3D_REF_dv_trk,4,4,gcn,4,0,12,0,1.0,1.0,5,/mlodata1/hokarami/fari/tracking/generated_data/fissions/ass_graphs_features_locality,0
17,140,141,wt_pom1D_01_07_R3D_REF_dv_trk,33,33,gcn,33,0,1056,0,1.0,1.0,5,/mlodata1/hokarami/fari/tracking/generated_data/fissions/ass_graphs_features_locality,0
18,107,108,wt_pom1D_01_07_R3D_REF_dv_trk,16,16,gcn,16,0,240,0,1.0,1.0,5,/mlodata1/hokarami/fari/tracking/generated_data/fissions/ass_graphs_features_locality,0
19,57,58,wt_pom1D_01_07_R3D_REF_dv_trk,8,8,gcn,8,0,56,0,1.0,1.0,5,/mlodata1/hokarami/fari/tracking/generated_data/fissions/ass_graphs_features_locality,0
20,30,31,wt_pom1D_01_07_R3D_REF_dv_trk,4,4,gcn,4,0,12,0,1.0,1.0,5,/mlodata1/hokarami/fari/tracking/generated_data/fissions/ass_graphs_features_locality,0
21,166,167,wt_pom1D_01_07_R3D_REF_dv_trk,64,64,gcn,64,0,4032,0,1.0,1.0,5,/mlodata1/hokarami/fari/tracking/generated_data/fissions/ass_graphs_features_locality,0
22,54,55,wt_pom1D_01_07_R3D_REF_dv_trk,8,8,gcn,8,0,56,0,1.0,1.0,5,/mlodata1/hokarami/fari/tracking/generated_data/fissions/ass_graphs_features_locality,0
23,103,104,wt_pom1D_01_07_R3D_REF_dv_trk,16,16,gcn,16,0,240,0,1.0,1.0,5,/mlodata1/hokarami/fari/tracking/generated_data/fissions/ass_graphs_features_locality,0
24,123,124,wt_pom1D_01_07_R3D_REF_dv_trk,26,26,gcn,26,0,650,0,1.0,1.0,5,/mlodata1/hokarami/fari/tracking/generated_data/fissions/ass_graphs_features_locality,0
25,148,149,wt_pom1D_01_07_R3D_REF_dv_trk,44,45,gcn,43,0,1937,0,1.0,1.0,5,/mlodata1/hokarami/fari/tracking/generated_data/fissions/ass_graphs_features_locality,0
26,156,157,wt_pom1D_01_07_R3D_REF_dv_trk,58,57,gcn,56,1,3249,0,0.999697519661222,0.9911504424778761,5,/mlodata1/hokarami/fari/tracking/generated_data/fissions/ass_graphs_features_locality,0
27,89,90,wt_pom1D_01_07_R3D_REF_dv_trk,10,10,gcn,10,0,90,0,1.0,1.0,5,/mlodata1/hokarami/fari/tracking/generated_data/fissions/ass_graphs_features_locality,0
28,151,152,wt_pom1D_01_07_R3D_REF_dv_trk,48,50,gcn,46,0,2354,0,1.0,1.0,5,/mlodata1/hokarami/fari/tracking/generated_data/fissions/ass_graphs_features_locality,0
29,29,30,wt_pom1D_01_07_R3D_REF_dv_trk,4,4,gcn,4,0,12,0,1.0,1.0,5,/mlodata1/hokarami/fari/tracking/generated_data/fissions/ass_graphs_features_locality,0
30,176,177,wt_pom1D_01_07_R3D_REF_dv_trk,77,79,gcn,75,0,6008,0,1.0,1.0,5,/mlodata1/hokarami/fari/tracking/generated_data/fissions/ass_graphs_features_locality,0
31,45,46,wt_pom1D_01_07_R3D_REF_dv_trk,4,5,gcn,2,1,16,1,0.9,0.6666666666666666,5,/mlodata1/hokarami/fari/tracking/generated_data/fissions/ass_graphs_features_locality,0
32,71,72,wt_pom1D_01_07_R3D_REF_dv_trk,8,8,gcn,8,0,56,0,1.0,1.0,5,/mlodata1/hokarami/fari/tracking/generated_data/fissions/ass_graphs_features_locality,0
33,73,74,wt_pom1D_01_07_R3D_REF_dv_trk,8,8,gcn,8,0,56,0,1.0,1.0,5,/mlodata1/hokarami/fari/tracking/generated_data/fissions/ass_graphs_features_locality,0
34,46,47,wt_pom1D_01_07_R3D_REF_dv_trk,5,5,gcn,5,0,20,0,1.0,1.0,5,/mlodata1/hokarami/fari/tracking/generated_data/fissions/ass_graphs_features_locality,0
35,139,140,wt_pom1D_01_07_R3D_REF_dv_trk,33,33,gcn,33,0,1056,0,1.0,1.0,5,/mlodata1/hokarami/fari/tracking/generated_data/fissions/ass_graphs_features_locality,0
36,25,26,wt_pom1D_01_07_R3D_REF_dv_trk,4,4,gcn,4,0,12,0,1.0,1.0,5,/mlodata1/hokarami/fari/tracking/generated_data/fissions/ass_graphs_features_locality,0
37,93,94,wt_pom1D_01_07_R3D_REF_dv_trk,13,14,gcn,12,0,170,0,1.0,1.0,5,/mlodata1/hokarami/fari/tracking/generated_data/fissions/ass_graphs_features_locality,0
38,80,81,wt_pom1D_01_07_R3D_REF_dv_trk,8,8,gcn,8,0,56,0,1.0,1.0,5,/mlodata1/hokarami/fari/tracking/generated_data/fissions/ass_graphs_features_locality,0
39,120,121,wt_pom1D_01_07_R3D_REF_dv_trk,23,23,gcn,23,0,506,0,1.0,1.0,5,/mlodata1/hokarami/fari/tracking/generated_data/fissions/ass_graphs_features_locality,0
40,165,166,wt_pom1D_01_07_R3D_REF_dv_trk,63,64,gcn,62,0,3970,0,1.0,1.0,5,/mlodata1/hokarami/fari/tracking/generated_data/fissions/ass_graphs_features_locality,0
41,76,77,wt_pom1D_01_07_R3D_REF_dv_trk,8,8,gcn,8,0,56,0,1.0,1.0,5,/mlodata1/hokarami/fari/tracking/generated_data/fissions/ass_graphs_features_locality,0
42,23,24,wt_pom1D_01_07_R3D_REF_dv_trk,4,4,gcn,4,0,12,0,1.0,1.0,5,/mlodata1/hokarami/fari/tracking/generated_data/fissions/ass_graphs_features_locality,0
43,39,40,wt_pom1D_01_07_R3D_REF_dv_trk,4,4,gcn,4,0,12,0,1.0,1.0,5,/mlodata1/hokarami/fari/tracking/generated_data/fissions/ass_graphs_features_locality,0
44,167,168,wt_pom1D_01_07_R3D_REF_dv_trk,64,64,gcn,64,0,4032,0,1.0,1.0,5,/mlodata1/hokarami/fari/tracking/generated_data/fissions/ass_graphs_features_locality,0
45,174,175,wt_pom1D_01_07_R3D_REF_dv_trk,73,74,gcn,72,0,5330,0,1.0,1.0,5,/mlodata1/hokarami/fari/tracking/generated_data/fissions/ass_graphs_features_locality,0
46,99,100,wt_pom1D_01_07_R3D_REF_dv_trk,15,16,gcn,14,0,226,0,1.0,1.0,5,/mlodata1/hokarami/fari/tracking/generated_data/fissions/ass_graphs_features_locality,0
47,64,65,wt_pom1D_01_07_R3D_REF_dv_trk,8,8,gcn,8,0,56,0,1.0,1.0,5,/mlodata1/hokarami/fari/tracking/generated_data/fissions/ass_graphs_features_locality,0
48,155,156,wt_pom1D_01_07_R3D_REF_dv_trk,57,58,gcn,56,0,3250,0,1.0,1.0,5,/mlodata1/hokarami/fari/tracking/generated_data/fissions/ass_graphs_features_locality,0
49,150,151,wt_pom1D_01_07_R3D_REF_dv_trk,44,48,gcn,40,0,2072,0,1.0,1.0,5,/mlodata1/hokarami/fari/tracking/generated_data/fissions/ass_graphs_features_locality,0
50,96,97,wt_pom1D_01_07_R3D_REF_dv_trk,14,15,gcn,13,0,197,0,1.0,1.0,5,/mlodata1/hokarami/fari/tracking/generated_data/fissions/ass_graphs_features_locality,0
51,24,25,wt_pom1D_01_07_R3D_REF_dv_trk,4,4,gcn,4,0,12,0,1.0,1.0,5,/mlodata1/hokarami/fari/tracking/generated_data/fissions/ass_graphs_features_locality,0
52,101,102,wt_pom1D_01_07_R3D_REF_dv_trk,16,16,gcn,16,0,240,0,1.0,1.0,5,/mlodata1/hokarami/fari/tracking/generated_data/fissions/ass_graphs_features_locality,0
53,153,154,wt_pom1D_01_07_R3D_REF_dv_trk,51,56,gcn,46,0,2810,0,1.0,1.0,5,/mlodata1/hokarami/fari/tracking/generated_data/fissions/ass_graphs_features_locality,0
54,86,87,wt_pom1D_01_07_R3D_REF_dv_trk,8,9,gcn,7,0,65,0,1.0,1.0,5,/mlodata1/hokarami/fari/tracking/generated_data/fissions/ass_graphs_features_locality,0
55,170,171,wt_pom1D_01_07_R3D_REF_dv_trk,65,67,gcn,63,0,4292,0,1.0,1.0,5,/mlodata1/hokarami/fari/tracking/generated_data/fissions/ass_graphs_features_locality,0
56,114,115,wt_pom1D_01_07_R3D_REF_dv_trk,17,18,gcn,16,0,290,0,1.0,1.0,5,/mlodata1/hokarami/fari/tracking/generated_data/fissions/ass_graphs_features_locality,0
57,33,34,wt_pom1D_01_07_R3D_REF_dv_trk,4,4,gcn,4,0,12,0,1.0,1.0,5,/mlodata1/hokarami/fari/tracking/generated_data/fissions/ass_graphs_features_locality,0
58,68,69,wt_pom1D_01_07_R3D_REF_dv_trk,8,8,gcn,8,0,56,0,1.0,1.0,5,/mlodata1/hokarami/fari/tracking/generated_data/fissions/ass_graphs_features_locality,0
59,143,144,wt_pom1D_01_07_R3D_REF_dv_trk,34,34,gcn,34,0,1122,0,1.0,1.0,5,/mlodata1/hokarami/fari/tracking/generated_data/fissions/ass_graphs_features_locality,0
60,127,128,wt_pom1D_01_07_R3D_REF_dv_trk,30,31,gcn,29,0,901,0,1.0,1.0,5,/mlodata1/hokarami/fari/tracking/generated_data/fissions/ass_graphs_features_locality,0
61,95,96,wt_pom1D_01_07_R3D_REF_dv_trk,14,14,gcn,14,0,182,0,1.0,1.0,5,/mlodata1/hokarami/fari/tracking/generated_data/fissions/ass_graphs_features_locality,0
62,172,173,wt_pom1D_01_07_R3D_REF_dv_trk,69,69,gcn,69,0,4692,0,1.0,1.0,5,/mlodata1/hokarami/fari/tracking/generated_data/fissions/ass_graphs_features_locality,0
63,58,59,wt_pom1D_01_07_R3D_REF_dv_trk,8,8,gcn,8,0,56,0,1.0,1.0,5,/mlodata1/hokarami/fari/tracking/generated_data/fissions/ass_graphs_features_locality,0
64,74,75,wt_pom1D_01_07_R3D_REF_dv_trk,8,8,gcn,8,0,56,0,1.0,1.0,5,/mlodata1/hokarami/fari/tracking/generated_data/fissions/ass_graphs_features_locality,0
65,65,66,wt_pom1D_01_07_R3D_REF_dv_trk,8,8,gcn,8,0,56,0,1.0,1.0,5,/mlodata1/hokarami/fari/tracking/generated_data/fissions/ass_graphs_features_locality,0
66,115,116,wt_pom1D_01_07_R3D_REF_dv_trk,18,19,gcn,17,0,325,0,1.0,1.0,5,/mlodata1/hokarami/fari/tracking/generated_data/fissions/ass_graphs_features_locality,0
67,31,32,wt_pom1D_01_07_R3D_REF_dv_trk,4,4,gcn,4,0,12,0,1.0,1.0,5,/mlodata1/hokarami/fari/tracking/generated_data/fissions/ass_graphs_features_locality,0
68,164,165,wt_pom1D_01_07_R3D_REF_dv_trk,62,63,gcn,61,0,3845,0,1.0,1.0,5,/mlodata1/hokarami/fari/tracking/generated_data/fissions/ass_graphs_features_locality,0
69,131,132,wt_pom1D_01_07_R3D_REF_dv_trk,31,32,gcn,30,0,962,0,1.0,1.0,5,/mlodata1/hokarami/fari/tracking/generated_data/fissions/ass_graphs_features_locality,0
70,43,44,wt_pom1D_01_07_R3D_REF_dv_trk,4,4,gcn,4,0,12,0,1.0,1.0,5,/mlodata1/hokarami/fari/tracking/generated_data/fissions/ass_graphs_features_locality,0
71,28,29,wt_pom1D_01_07_R3D_REF_dv_trk,4,4,gcn,4,0,12,0,1.0,1.0,5,/mlodata1/hokarami/fari/tracking/generated_data/fissions/ass_graphs_features_locality,0
72,49,50,wt_pom1D_01_07_R3D_REF_dv_trk,5,5,gcn,5,0,20,0,1.0,1.0,5,/mlodata1/hokarami/fari/tracking/generated_data/fissions/ass_graphs_features_locality,0
73,26,27,wt_pom1D_01_07_R3D_REF_dv_trk,4,4,gcn,4,0,12,0,1.0,1.0,5,/mlodata1/hokarami/fari/tracking/generated_data/fissions/ass_graphs_features_locality,0
74,85,86,wt_pom1D_01_07_R3D_REF_dv_trk,8,8,gcn,8,0,56,0,1.0,1.0,5,/mlodata1/hokarami/fari/tracking/generated_data/fissions/ass_graphs_features_locality,0
75,124,125,wt_pom1D_01_07_R3D_REF_dv_trk,26,27,gcn,25,0,677,0,1.0,1.0,5,/mlodata1/hokarami/fari/tracking/generated_data/fissions/ass_graphs_features_locality,0
76,35,36,wt_pom1D_01_07_R3D_REF_dv_trk,4,4,gcn,4,0,12,0,1.0,1.0,5,/mlodata1/hokarami/fari/tracking/generated_data/fissions/ass_graphs_features_locality,0
77,94,95,wt_pom1D_01_07_R3D_REF_dv_trk,14,14,gcn,14,0,182,0,1.0,1.0,5,/mlodata1/hokarami/fari/tracking/generated_data/fissions/ass_graphs_features_locality,0
