t1,t2,colony,num_cells1,num_cells2,method,tp,fp,tn,fn,acc,f1,timediff
51,53,240102_30C_fig_SX387_03,24,24,gcn,24,0,552,0,1.0,1.0,10
47,49,240102_30C_fig_SW182_01,16,17,gcn,15,1,256,0,0.9963235294117647,0.967741935483871,10
2,6,240102_30C_fig_SX387_01,10,10,gcn,10,0,90,0,1.0,1.0,20
33,36,240102_30C_fig_SX387_05,4,4,gcn,4,0,12,0,1.0,1.0,15
5,8,240102_30C_fig_SX387_01,10,12,gcn,8,2,110,0,0.9833333333333333,0.8888888888888888,15
21,24,240102_30C_fig_SX387_01,19,19,gcn,19,0,342,0,1.0,1.0,15
103,107,240102_30C_fig_SX387_05,16,16,gcn,16,0,240,0,1.0,1.0,20
13,16,240102_30C_fig_SX387_03,12,12,gcn,12,0,132,0,1.0,1.0,15
116,117,240102_30C_fig_SW182_01,46,47,gcn,45,1,2116,0,0.9995374653098983,0.989010989010989,5
59,63,240102_30C_fig_SX387_05,8,8,gcn,8,0,56,0,1.0,1.0,20
19,21,240102_30C_fig_SW182_01,12,12,gcn,12,0,132,0,1.0,1.0,10
100,103,240102_30C_fig_SX387_05,16,16,gcn,16,0,240,0,1.0,1.0,15
29,30,240102_30C_fig_SX387_05,4,4,gcn,4,0,12,0,1.0,1.0,5
48,49,240102_30C_fig_SX387_05,8,8,gcn,8,0,56,0,1.0,1.0,5
108,110,240102_30C_fig_SX387_05,16,16,gcn,16,0,240,0,1.0,1.0,10
105,107,240102_30C_fig_SX387_03,48,49,gcn,47,1,2304,0,0.9995748299319728,0.9894736842105263,10
62,66,240102_30C_fig_SX387_03,24,24,gcn,24,0,552,0,1.0,1.0,20
18,21,240102_30C_fig_SX387_05,4,4,gcn,4,0,12,0,1.0,1.0,15
75,79,240102_30C_fig_SW182_01,27,28,gcn,26,1,729,0,0.9986772486772487,0.9811320754716981,20
93,95,240102_30C_fig_SX387_03,47,47,gcn,47,0,2162,0,1.0,1.0,10
3,6,240102_30C_fig_SX387_01,10,10,gcn,10,0,90,0,1.0,1.0,15
14,16,240102_30C_fig_SX387_05,4,4,gcn,4,0,12,0,1.0,1.0,10
70,72,240102_30C_fig_SX387_05,8,8,gcn,8,0,56,0,1.0,1.0,10
25,29,240102_30C_fig_SW182_01,12,12,gcn,12,0,132,0,1.0,1.0,20
74,76,240102_30C_fig_SX387_03,28,32,gcn,24,3,869,0,0.9966517857142857,0.9411764705882353,10
97,101,240102_30C_fig_SW182_01,36,37,gcn,35,1,1296,0,0.9992492492492493,0.9859154929577465,20
46,50,240102_30C_fig_SX387_01,29,34,gcn,23,5,957,1,0.9939148073022313,0.8846153846153846,20
73,76,240102_30C_fig_SW182_01,25,28,gcn,22,3,675,0,0.9957142857142857,0.9361702127659575,15
124,128,240102_30C_fig_SW182_01,53,57,gcn,49,4,2968,0,0.9986759351208209,0.9607843137254902,20
32,36,240102_30C_fig_SX387_01,19,19,gcn,19,0,342,0,1.0,1.0,20
0,2,240102_30C_fig_SX387_01,10,10,gcn,10,0,90,0,1.0,1.0,10
91,95,240102_30C_fig_SW182_01,35,36,gcn,34,1,1225,0,0.9992063492063492,0.9855072463768116,20
78,81,240102_30C_fig_SX387_05,9,9,gcn,9,0,72,0,1.0,1.0,15
55,56,240102_30C_fig_SW182_01,17,17,gcn,17,0,272,0,1.0,1.0,5
94,95,240102_30C_fig_SX387_03,47,47,gcn,47,0,2162,0,1.0,1.0,5
63,64,240102_30C_fig_SW182_01,20,20,gcn,20,0,380,0,1.0,1.0,5
