timediff,colony,f1,tp,fp,fn,tn,num_cells1,num_cells2,precision,recall
5,240102_30C_fig_SW182_01,0.993676379417235,4007,51,0,157463,4066,4125,0.9874322326269098,1.0
5,240102_30C_fig_SX387_01,0.9948805460750854,1749,17,1,50088,1779,1809,0.9903737259343148,0.9994285714285714
5,240102_30C_fig_SX387_03,0.9941363712514659,2967,33,2,101047,3015,3061,0.989,0.9993263725159987
5,240102_30C_fig_SX387_05,0.9935760171306209,928,12,0,9596,944,959,0.9872340425531915,1.0
10,240102_30C_fig_SW182_01,0.9882892057026477,3882,92,0,155260,4000,4118,0.9768495218922999,1.0
10,240102_30C_fig_SX387_01,0.9858657243816255,1674,41,7,49240,1739,1799,0.9760932944606414,0.9958358120166567
10,240102_30C_fig_SX387_03,0.9879310344827587,2865,64,6,99610,2962,3053,0.9781495390918402,0.9979101358411703
10,240102_30C_fig_SX387_05,0.9878721058434399,896,22,0,9452,927,957,0.9760348583877996,1.0
15,240102_30C_fig_SW182_01,0.9824790794979079,3757,134,0,153024,3934,4111,0.9655615523001799,1.0
15,240102_30C_fig_SX387_01,0.9737324373854612,1594,68,18,48366,1699,1789,0.9590854392298436,0.988833746898263
15,240102_30C_fig_SX387_03,0.9822569198012775,2768,91,9,98246,2911,3045,0.9681706890521161,0.9967590925459129
15,240102_30C_fig_SX387_05,0.9807037457434733,864,34,0,9302,910,955,0.9621380846325167,1.0
20,240102_30C_fig_SW182_01,0.9773950484391819,3632,168,0,150776,3868,4104,0.9557894736842105,1.0
20,240102_30C_fig_SX387_01,0.9628689304982545,1517,91,26,47468,1659,1779,0.943407960199005,0.983149708360337
20,240102_30C_fig_SX387_03,0.9747991234477721,2669,124,14,96845,2860,3037,0.9556032939491587,0.9947819604919865
20,240102_30C_fig_SX387_05,0.9754385964912281,834,42,0,9168,894,953,0.952054794520548,1.0
