timediff,colony,f1,tp,fp,fn,tn,num_cells1,num_cells2,precision,recall
5,240102_30C_fig_SW182_01,0.9926916883438622,4007,59,0,157455,4066,4125,0.985489424495819,1.0
5,240102_30C_fig_SX387_01,0.9917823746103712,1750,29,0,50076,1779,1809,0.983698707138842,1.0
5,240102_30C_fig_SX387_03,0.9923128342245989,2969,46,0,101034,3015,3061,0.984742951907131,1.0
5,240102_30C_fig_SX387_05,0.9909139497594869,927,16,1,9592,944,959,0.9830328738069989,0.9989224137931034
10,240102_30C_fig_SW182_01,0.9850291804110631,3882,118,0,155234,4000,4118,0.9705,1.0
10,240102_30C_fig_SX387_01,0.9812865497076023,1678,61,3,49220,1739,1799,0.9649223691776884,0.9982153480071386
10,240102_30C_fig_SX387_03,0.9843991085204868,2871,91,0,99583,2962,3053,0.9692775151924375,1.0
10,240102_30C_fig_SX387_05,0.9813391877058177,894,32,2,9442,927,957,0.9654427645788337,0.9977678571428571
15,240102_30C_fig_SW182_01,0.9769860876348979,3757,177,0,152981,3934,4111,0.9550076258261312,1.0
15,240102_30C_fig_SX387_01,0.9719118091211114,1609,90,3,48344,1699,1789,0.9470276633313714,0.9981389578163772
15,240102_30C_fig_SX387_03,0.9764416315049227,2777,134,0,98203,2911,3045,0.9539677086911714,1.0
15,240102_30C_fig_SX387_05,0.9712351945854484,861,48,3,9288,910,955,0.9471947194719472,0.9965277777777778
20,240102_30C_fig_SW182_01,0.968,3630,238,2,150706,3868,4104,0.93846949327818,0.9994493392070485
20,240102_30C_fig_SX387_01,0.9600249843847595,1537,122,6,47437,1659,1779,0.9264617239300783,0.9961114711600778
20,240102_30C_fig_SX387_03,0.9669853869745625,2680,180,3,96789,2860,3037,0.9370629370629371,0.9988818486768543
20,240102_30C_fig_SX387_05,0.9623624782860452,831,62,3,9148,894,953,0.9305711086226204,0.9964028776978417
