,t1,t2,colony,num_cells1,num_cells2,method,tp,fp,tn,fn,acc,f1,timediff,assgraphs,seed
0,74,75,wt_pom1D_01_20_R3D_REF_dv_trk,7,7,gcn,7,0,42,0,1.0,1.0,5,/mlodata1/hokarami/fari/tracking/generated_data/fissions/ass_graphs_features_locality,0
1,71,73,wt_pom1D_01_20_R3D_REF_dv_trk,7,7,gcn,7,0,42,0,1.0,1.0,10,/mlodata1/hokarami/fari/tracking/generated_data/fissions/ass_graphs_features_locality,0
2,30,31,wt_pom1D_01_20_R3D_REF_dv_trk,4,4,gcn,4,0,12,0,1.0,1.0,5,/mlodata1/hokarami/fari/tracking/generated_data/fissions/ass_graphs_features_locality,0
3,71,72,wt_pom1D_01_20_R3D_REF_dv_trk,7,7,gcn,7,0,42,0,1.0,1.0,5,/mlodata1/hokarami/fari/tracking/generated_data/fissions/ass_graphs_features_locality,0
4,103,105,wt_pom1D_01_20_R3D_REF_dv_trk,14,16,gcn,12,0,212,0,1.0,1.0,10,/mlodata1/hokarami/fari/tracking/generated_data/fissions/ass_graphs_features_locality,0
5,36,37,wt_pom1D_01_20_R3D_REF_dv_trk,4,4,gcn,4,0,12,0,1.0,1.0,5,/mlodata1/hokarami/fari/tracking/generated_data/fissions/ass_graphs_features_locality,0
6,146,148,wt_pom1D_01_20_R3D_REF_dv_trk,36,39,gcn,33,0,1371,0,1.0,1.0,10,/mlodata1/hokarami/fari/tracking/generated_data/fissions/ass_graphs_features_locality,0
7,119,121,wt_pom1D_01_20_R3D_REF_dv_trk,20,20,gcn,20,0,380,0,1.0,1.0,10,/mlodata1/hokarami/fari/tracking/generated_data/fissions/ass_graphs_features_locality,0
8,145,147,wt_pom1D_01_20_R3D_REF_dv_trk,35,39,gcn,31,0,1334,0,1.0,1.0,10,/mlodata1/hokarami/fari/tracking/generated_data/fissions/ass_graphs_features_locality,0
9,99,100,wt_pom1D_01_20_R3D_REF_dv_trk,13,13,gcn,13,0,156,0,1.0,1.0,5,/mlodata1/hokarami/fari/tracking/generated_data/fissions/ass_graphs_features_locality,0
10,53,55,wt_pom1D_01_20_R3D_REF_dv_trk,5,5,gcn,5,0,20,0,1.0,1.0,10,/mlodata1/hokarami/fari/tracking/generated_data/fissions/ass_graphs_features_locality,0
