,t1,t2,colony,num_cells1,num_cells2,method,tp,fp,tn,fn,acc,f1,timediff,assgraphs,seed
0,85,86,wt_pom1D_01_30_R3D_REF_dv_trk,7,7,gcn,7,0,42,0,1.0,1.0,5,/mlodata1/hokarami/fari/tracking/generated_data/fissions/ass_graphs_features_locality,0
1,104,105,wt_pom1D_01_30_R3D_REF_dv_trk,8,9,gcn,7,0,65,0,1.0,1.0,5,/mlodata1/hokarami/fari/tracking/generated_data/fissions/ass_graphs_features_locality,0
2,49,50,wt_pom1D_01_30_R3D_REF_dv_trk,4,4,gcn,4,0,12,0,1.0,1.0,5,/mlodata1/hokarami/fari/tracking/generated_data/fissions/ass_graphs_features_locality,0
3,156,157,wt_pom1D_01_30_R3D_REF_dv_trk,32,32,gcn,32,0,992,0,1.0,1.0,5,/mlodata1/hokarami/fari/tracking/generated_data/fissions/ass_graphs_features_locality,0
4,108,109,wt_pom1D_01_30_R3D_REF_dv_trk,12,14,gcn,10,0,158,0,1.0,1.0,5,/mlodata1/hokarami/fari/tracking/generated_data/fissions/ass_graphs_features_locality,0
5,112,113,wt_pom1D_01_30_R3D_REF_dv_trk,14,14,gcn,14,0,182,0,1.0,1.0,5,/mlodata1/hokarami/fari/tracking/generated_data/fissions/ass_graphs_features_locality,0
6,55,56,wt_pom1D_01_30_R3D_REF_dv_trk,4,4,gcn,4,0,12,0,1.0,1.0,5,/mlodata1/hokarami/fari/tracking/generated_data/fissions/ass_graphs_features_locality,0
7,45,46,wt_pom1D_01_30_R3D_REF_dv_trk,4,4,gcn,4,0,12,0,1.0,1.0,5,/mlodata1/hokarami/fari/tracking/generated_data/fissions/ass_graphs_features_locality,0
8,91,92,wt_pom1D_01_30_R3D_REF_dv_trk,8,8,gcn,8,0,56,0,1.0,1.0,5,/mlodata1/hokarami/fari/tracking/generated_data/fissions/ass_graphs_features_locality,0
9,138,139,wt_pom1D_01_30_R3D_REF_dv_trk,21,22,gcn,20,0,442,0,1.0,1.0,5,/mlodata1/hokarami/fari/tracking/generated_data/fissions/ass_graphs_features_locality,0
10,86,87,wt_pom1D_01_30_R3D_REF_dv_trk,7,7,gcn,7,0,42,0,1.0,1.0,5,/mlodata1/hokarami/fari/tracking/generated_data/fissions/ass_graphs_features_locality,0
11,113,114,wt_pom1D_01_30_R3D_REF_dv_trk,14,14,gcn,14,0,182,0,1.0,1.0,5,/mlodata1/hokarami/fari/tracking/generated_data/fissions/ass_graphs_features_locality,0
12,136,137,wt_pom1D_01_30_R3D_REF_dv_trk,20,20,gcn,20,0,380,0,1.0,1.0,5,/mlodata1/hokarami/fari/tracking/generated_data/fissions/ass_graphs_features_locality,0
13,116,117,wt_pom1D_01_30_R3D_REF_dv_trk,14,16,gcn,12,0,212,0,1.0,1.0,5,/mlodata1/hokarami/fari/tracking/generated_data/fissions/ass_graphs_features_locality,0
14,83,84,wt_pom1D_01_30_R3D_REF_dv_trk,7,7,gcn,7,0,42,0,1.0,1.0,5,/mlodata1/hokarami/fari/tracking/generated_data/fissions/ass_graphs_features_locality,0
