timediff,colony,f1,tp,fp,fn,tn,num_cells1,num_cells2,precision,recall
5,240102_30C_fig_SW182_01,0.9924439489656881,4006,60,1,157454,4066,4125,0.985243482538121,0.9997504367357125
5,240102_30C_fig_SX387_01,0.9895154434684047,1746,33,4,50072,1779,1809,0.9814502529510961,0.9977142857142857
5,240102_30C_fig_SX387_03,0.9924786896205917,2969,45,0,101035,3015,3061,0.9850696748506967,1.0
5,240102_30C_fig_SX387_05,0.9909139497594869,927,16,1,9592,944,959,0.9830328738069989,0.9989224137931034
10,240102_30C_fig_SW182_01,0.9847754377061659,3881,119,1,155233,4000,4118,0.97025,0.9997424008243173
10,240102_30C_fig_SX387_01,0.9801169590643275,1676,63,5,49218,1739,1799,0.9637722829212191,0.9970255800118977
10,240102_30C_fig_SX387_03,0.9843937575030012,2870,90,1,99584,2962,3053,0.9695945945945946,0.9996516893068618
10,240102_30C_fig_SX387_05,0.9791437980241493,892,34,4,9440,927,957,0.9632829373650108,0.9955357142857143
15,240102_30C_fig_SW182_01,0.9764659992198674,3755,179,2,152979,3934,4111,0.9544992374173868,0.9994676603673144
15,240102_30C_fig_SX387_01,0.9682875264270613,1603,96,9,48338,1699,1789,0.9434961742201294,0.9944168734491315
15,240102_30C_fig_SX387_03,0.9764167546638508,2774,131,3,98206,2911,3045,0.9549053356282272,0.9989196975153043
15,240102_30C_fig_SX387_05,0.9689791314156796,859,50,5,9286,910,955,0.944994499449945,0.9942129629629629
20,240102_30C_fig_SW182_01,0.9674666666666667,3628,240,4,150704,3868,4104,0.937952430196484,0.998898678414097
20,240102_30C_fig_SX387_01,0.9519050593379138,1524,135,19,47424,1659,1779,0.918625678119349,0.9876863253402463
20,240102_30C_fig_SX387_03,0.9664017341040463,2675,178,8,96791,2860,3037,0.9376095338240449,0.997018263138278
20,240102_30C_fig_SX387_05,0.9588882455124493,828,65,6,9145,894,953,0.9272116461366181,0.9928057553956835
