timediff,colony,f1,tp,fp,fn,tn,num_cells1,num_cells2,precision,recall
5,240102_30C_fig_SW182_01,0.9926916883438622,4007,59,0,157455,4066,4125,0.985489424495819,1.0
5,240102_30C_fig_SX387_01,0.9917823746103712,1750,29,0,50076,1779,1809,0.983698707138842,1.0
5,240102_30C_fig_SX387_03,0.9923128342245989,2969,46,0,101034,3015,3061,0.984742951907131,1.0
5,240102_30C_fig_SX387_05,0.9919828968466061,928,15,0,9593,944,959,0.9840933191940615,1.0
10,240102_30C_fig_SW182_01,0.9850291804110631,3882,118,0,155234,4000,4118,0.9705,1.0
10,240102_30C_fig_SX387_01,0.9789473684210527,1674,65,7,49216,1739,1799,0.9626221966647499,0.9958358120166567
10,240102_30C_fig_SX387_03,0.9843991085204868,2871,91,0,99583,2962,3053,0.9692775151924375,1.0
10,240102_30C_fig_SX387_05,0.9835345773874863,896,30,0,9444,927,957,0.9676025917926566,1.0
15,240102_30C_fig_SW182_01,0.9769860876348979,3757,177,0,152981,3934,4111,0.9550076258261312,1.0
15,240102_30C_fig_SX387_01,0.9640591966173362,1596,103,16,48331,1699,1789,0.9393761035903473,0.9900744416873449
15,240102_30C_fig_SX387_03,0.9764416315049227,2777,134,0,98203,2911,3045,0.9539677086911714,1.0
15,240102_30C_fig_SX387_05,0.9746192893401016,864,45,0,9291,910,955,0.9504950495049505,1.0
20,240102_30C_fig_SW182_01,0.968,3630,238,2,150706,3868,4104,0.93846949327818,0.9994493392070485
20,240102_30C_fig_SX387_01,0.9506558400999375,1522,137,21,47422,1659,1779,0.917420132610006,0.9863901490602722
20,240102_30C_fig_SX387_03,0.9680678333032654,2683,177,0,96792,2860,3037,0.9381118881118881,1.0
20,240102_30C_fig_SX387_05,0.965836711059641,834,59,0,9151,894,953,0.9339305711086227,1.0
