,t1,t2,method,tp,fp,tn,fn,acc,f1,num_cells1,num_cells2,timediff
714,0,1,yeaz,2,0,2,0,1.0,1.0,2,2,5
715,0,2,yeaz,2,0,2,0,1.0,1.0,2,2,10
716,0,3,yeaz,0,2,2,2,0.3333333333333333,0.0,2,3,15
717,0,4,yeaz,0,2,2,2,0.3333333333333333,0.0,2,3,20
718,1,2,yeaz,2,0,2,0,1.0,1.0,2,2,5
719,1,3,yeaz,0,2,2,2,0.3333333333333333,0.0,2,3,10
720,1,4,yeaz,0,2,2,2,0.3333333333333333,0.0,2,3,15
721,1,5,yeaz,0,2,2,2,0.3333333333333333,0.0,2,3,20
722,2,3,yeaz,2,0,4,0,1.0,1.0,2,3,5
723,2,4,yeaz,2,0,4,0,1.0,1.0,2,3,10
724,2,5,yeaz,2,0,4,0,1.0,1.0,2,3,15
725,2,6,yeaz,2,0,4,0,1.0,1.0,2,3,20
726,3,4,yeaz,3,0,6,0,1.0,1.0,3,3,5
727,3,5,yeaz,3,0,6,0,1.0,1.0,3,3,10
728,3,6,yeaz,3,0,6,0,1.0,1.0,3,3,15
729,3,7,yeaz,3,0,6,0,1.0,1.0,3,3,20
730,4,5,yeaz,3,0,6,0,1.0,1.0,3,3,5
731,4,6,yeaz,3,0,6,0,1.0,1.0,3,3,10
732,4,7,yeaz,3,0,6,0,1.0,1.0,3,3,15
733,4,8,yeaz,3,0,6,0,1.0,1.0,3,3,20
734,5,6,yeaz,3,0,6,0,1.0,1.0,3,3,5
735,5,7,yeaz,3,0,6,0,1.0,1.0,3,3,10
736,5,8,yeaz,3,0,6,0,1.0,1.0,3,3,15
737,5,9,yeaz,3,0,6,0,1.0,1.0,3,3,20
738,6,7,yeaz,3,0,6,0,1.0,1.0,3,3,5
739,6,8,yeaz,3,0,6,0,1.0,1.0,3,3,10
740,6,9,yeaz,3,0,6,0,1.0,1.0,3,3,15
741,6,10,yeaz,3,0,6,0,1.0,1.0,3,3,20
742,7,8,yeaz,3,0,6,0,1.0,1.0,3,3,5
743,7,9,yeaz,3,0,6,0,1.0,1.0,3,3,10
744,7,10,yeaz,3,0,6,0,1.0,1.0,3,3,15
745,7,11,yeaz,3,0,6,0,1.0,1.0,3,3,20
746,8,9,yeaz,3,0,6,0,1.0,1.0,3,3,5
747,8,10,yeaz,3,0,6,0,1.0,1.0,3,3,10
748,8,11,yeaz,3,0,6,0,1.0,1.0,3,3,15
749,8,12,yeaz,3,0,6,0,1.0,1.0,3,3,20
750,9,10,yeaz,3,0,6,0,1.0,1.0,3,3,5
751,9,11,yeaz,3,0,6,0,1.0,1.0,3,3,10
752,9,12,yeaz,3,0,6,0,1.0,1.0,3,3,15
753,9,13,yeaz,3,0,6,0,1.0,1.0,3,3,20
754,10,11,yeaz,3,0,6,0,1.0,1.0,3,3,5
755,10,12,yeaz,3,0,6,0,1.0,1.0,3,3,10
756,10,13,yeaz,3,0,6,0,1.0,1.0,3,3,15
757,10,14,yeaz,3,0,6,0,1.0,1.0,3,3,20
758,11,12,yeaz,3,0,6,0,1.0,1.0,3,3,5
759,11,13,yeaz,3,0,6,0,1.0,1.0,3,3,10
760,11,14,yeaz,3,0,6,0,1.0,1.0,3,3,15
761,11,15,yeaz,3,0,6,0,1.0,1.0,3,3,20
762,12,13,yeaz,3,0,6,0,1.0,1.0,3,3,5
763,12,14,yeaz,3,0,6,0,1.0,1.0,3,3,10
764,12,15,yeaz,3,0,6,0,1.0,1.0,3,3,15
765,12,16,yeaz,3,0,6,0,1.0,1.0,3,3,20
766,13,14,yeaz,3,0,6,0,1.0,1.0,3,3,5
767,13,15,yeaz,3,0,6,0,1.0,1.0,3,3,10
768,13,16,yeaz,3,0,6,0,1.0,1.0,3,3,15
769,13,17,yeaz,3,0,6,0,1.0,1.0,3,3,20
770,14,15,yeaz,3,0,6,0,1.0,1.0,3,3,5
771,14,16,yeaz,3,0,6,0,1.0,1.0,3,3,10
772,14,17,yeaz,3,0,6,0,1.0,1.0,3,3,15
773,14,18,yeaz,3,0,6,0,1.0,1.0,3,3,20
774,15,16,yeaz,3,0,6,0,1.0,1.0,3,3,5
775,15,17,yeaz,3,0,6,0,1.0,1.0,3,3,10
776,15,18,yeaz,3,0,6,0,1.0,1.0,3,3,15
777,15,19,yeaz,3,0,6,0,1.0,1.0,3,3,20
778,16,17,yeaz,3,0,6,0,1.0,1.0,3,3,5
779,16,18,yeaz,3,0,6,0,1.0,1.0,3,3,10
780,16,19,yeaz,3,0,6,0,1.0,1.0,3,3,15
781,16,20,yeaz,3,0,6,0,1.0,1.0,3,3,20
782,17,18,yeaz,3,0,6,0,1.0,1.0,3,3,5
783,17,19,yeaz,3,0,6,0,1.0,1.0,3,3,10
