,index,t1,t2,colony,num_cells1,num_cells2,method,tp,fp,tn,fn,acc,f1,timediff,assgraphs,seed
0,0,155,157,colony005,29,29,gcn,29,0,812,0,1.0,1.0,10,geometrical_features_only,0
1,1,87,88,colony006,85,91,gcn,85,0,7650,0,1.0,1.0,5,geometrical_features_only,0
2,2,72,76,colony000,40,44,gcn,40,0,1720,0,1.0,1.0,20,geometrical_features_only,0
3,3,98,100,colony000,94,99,gcn,94,0,9212,0,1.0,1.0,10,geometrical_features_only,0
4,4,11,12,colony000,4,4,gcn,4,0,12,0,1.0,1.0,5,geometrical_features_only,0
5,5,83,87,colony006,78,85,gcn,77,1,6551,1,0.9996983408748116,0.9871794871794872,20,geometrical_features_only,0
6,6,70,71,colony005,9,9,gcn,9,0,72,0,1.0,1.0,5,geometrical_features_only,0
7,7,43,44,colony006,17,17,gcn,17,0,272,0,1.0,1.0,5,geometrical_features_only,0
8,8,11,13,colony000,4,4,gcn,4,0,12,0,1.0,1.0,10,geometrical_features_only,0
9,9,67,69,colony006,43,47,gcn,41,2,1976,2,0.9980207817911924,0.9534883720930232,10,geometrical_features_only,0
10,10,86,87,colony006,85,85,gcn,85,0,7140,0,1.0,1.0,5,geometrical_features_only,0
11,11,131,133,colony000,236,250,gcn,235,1,58764,0,0.9999830508474576,0.9978768577494692,10,geometrical_features_only,0
12,12,90,93,colony005,11,11,gcn,11,0,110,0,1.0,1.0,15,geometrical_features_only,0
13,13,87,89,colony005,10,11,gcn,10,0,100,0,1.0,1.0,10,geometrical_features_only,0
14,14,23,27,colony006,9,10,gcn,9,0,81,0,1.0,1.0,20,geometrical_features_only,0
15,15,65,67,colony000,31,33,gcn,31,0,992,0,1.0,1.0,10,geometrical_features_only,0
16,16,43,46,colony006,17,18,gcn,17,0,289,0,1.0,1.0,15,geometrical_features_only,0
17,17,67,70,colony006,43,47,gcn,41,2,1976,2,0.9980207817911924,0.9534883720930232,15,geometrical_features_only,0
18,18,44,48,colony000,14,18,gcn,14,0,238,0,1.0,1.0,20,geometrical_features_only,0
19,19,74,76,colony005,10,10,gcn,10,0,90,0,1.0,1.0,10,geometrical_features_only,0
20,20,7,11,colony005,3,3,gcn,3,0,6,0,1.0,1.0,20,geometrical_features_only,0
21,21,45,48,colony005,7,8,gcn,7,0,49,0,1.0,1.0,15,geometrical_features_only,0
22,22,145,149,colony005,24,27,gcn,24,0,624,0,1.0,1.0,20,geometrical_features_only,0
23,23,60,63,colony000,26,29,gcn,26,0,728,0,1.0,1.0,15,geometrical_features_only,0
24,24,1,4,colony000,4,4,gcn,4,0,12,0,1.0,1.0,15,geometrical_features_only,0
25,25,79,80,colony005,10,10,gcn,10,0,90,0,1.0,1.0,5,geometrical_features_only,0
26,26,103,105,colony005,14,14,gcn,14,0,182,0,1.0,1.0,10,geometrical_features_only,0
27,27,30,33,colony006,11,12,gcn,11,0,121,0,1.0,1.0,15,geometrical_features_only,0
28,28,101,103,colony000,100,105,gcn,99,1,10399,1,0.9998095238095238,0.99,10,geometrical_features_only,0
29,29,113,115,colony005,15,15,gcn,15,0,210,0,1.0,1.0,10,geometrical_features_only,0
30,30,94,95,colony006,120,123,gcn,120,0,14640,0,1.0,1.0,5,geometrical_features_only,0
31,31,8,12,colony000,4,4,gcn,4,0,12,0,1.0,1.0,20,geometrical_features_only,0
32,32,163,166,colony005,33,35,gcn,32,1,1121,1,0.9982683982683984,0.9696969696969696,15,geometrical_features_only,0
33,33,9,13,colony006,6,6,gcn,6,0,30,0,1.0,1.0,20,geometrical_features_only,0
34,34,54,55,colony005,8,8,gcn,8,0,56,0,1.0,1.0,5,geometrical_features_only,0
35,35,95,99,colony000,77,95,gcn,74,3,7235,3,0.9991797676008204,0.961038961038961,20,geometrical_features_only,0
36,36,72,75,colony005,9,10,gcn,9,0,81,0,1.0,1.0,15,geometrical_features_only,0
37,37,110,111,colony005,14,14,gcn,14,0,182,0,1.0,1.0,5,geometrical_features_only,0
38,38,93,97,colony005,11,12,gcn,11,0,121,0,1.0,1.0,20,geometrical_features_only,0
39,39,10,11,colony006,6,6,gcn,6,0,30,0,1.0,1.0,5,geometrical_features_only,0
